Date	Price	Open	High	Low	Vol.	Close	Change %	
"Jun 10, 2020"	23.05	24.65	24.65	23.05	271.00K	22.7273	-7.80%	
"Jun 09, 2020"	25	29.71	29.71	25	751.40K	24.840531	-16.39%	
"Jun 08, 2020"	29.9	29.05	29.9	29.05	752.40K	28.954135	-0.33%	
"Jun 05, 2020"	30	25.01	30	25.01	3.80M	30.012	20.00%	
"Jun 04, 2020"	25	25.87	25.87	25	943.20K	25.87	0.00%	
"Jun 03, 2020"	25	21.71	25	21.71	206.30K	24.614798	13.38%	
"Jun 02, 2020"	22.05	18.4	22.05	18.4	700.40K	22.05056	19.84%	
"Jun 01, 2020"	18.4	15.36	18.4	15.36	428.70K	17.129472	11.52%	
"May 29, 2020"	16.5	15.33	16.5	15.33	392.10K	16.531872	7.84%	
"May 28, 2020"	15.3	14.8	15.3	14.8	458.00K	14.99536	1.32%	
"May 27, 2020"	15.1	14.37	15.1	14.37	157.80K	15.068382	4.86%	
"May 26, 2020"	14.4	12.01	14.4	12.01	1.53M	13.670983	13.83%	
"May 22, 2020"	12.65	10.57	12.65	10.57	822.40K	12.1555	15.00%	
"May 21, 2020"	11	10.17	11	10.17	521.70K	10.967328	7.84%	
"May 20, 2020"	10.2	10.11	10.2	10.11	528.20K	9.820854	-2.86%	
"May 19, 2020"	10.5	9.91	10.5	9.91	119.10K	10.4055	5.00%	
"May 18, 2020"	10	9.01	10	9.01	541.00K	9.945238	10.38%	
"May 15, 2020"	9.06	8.25	9.06	8.25	1.93M	9.049425	9.69%	
"May 14, 2020"	8.26	6.89	8.26	6.89	82.10K	7.488052	8.68%	
"May 13, 2020"	7.6	7.55	7.6	7.55	94.20K	8.82746	16.92%	
"May 12, 2020"	6.5	6.31	6.5	6.31	20.40K	6.39834	1.40%	
"May 11, 2020"	6.41	5.86	6.41	5.86	15.60K	6.058654	3.39%	
"May 08, 2020"	6.2	5.82	6.2	5.82	576.30K	6.15756	5.80%	
"May 07, 2020"	5.86	5.81	5.86	5.81	500.50K	5.859966	0.86%	
"May 06, 2020"	5.81	5.8	5.81	5.8	817.40K	5.80986	0.17%	
"May 05, 2020"	5.8	5.85	5.85	5.8	262.50K	5.800275	-0.85%	
"May 04, 2020"	5.85	5.85	5.85	5.85	630.70K	5.85	0.00%	
"Apr 30, 2020"	5.85	5.86	5.86	5.85	1.02M	5.86	0.00%	
"Apr 29, 2020"	5.85	5.9	5.9	5.85	452.80K	5.84985	-0.85%	
"Apr 28, 2020"	5.9	5.95	5.95	5.9	622.40K	5.90002	-0.84%	
"Apr 27, 2020"	5.95	5.97	5.97	5.95	755.80K	5.97	0.00%	
